Size_of_ROIs,Mean_Value,St_Deviation,Skewness,Gradient_Mean_value,Gradient_Variance,Percentage_non_zero_Gradients,Contrast,Correlation,Entropy,Homogenity,Run_Percentage,Long_run_Emphasis,Gray_Value_Distribution,Yearly_Production
20164,111.4666237,99.8998076,0.234841921,137.8037303,11913.34064,0.86927197,52.66873774,9.99E-05,3.829548138,0.200230041,0.50044634,1.961450798,3153.719651,4971.651273
20726,108.7767056,99.81744219,0.304535704,137.7033336,11918.27706,0.867943646,37.85622022,0.000100169,3.784305662,0.20375631,0.499807006,1.979534704,3250.616179,5058.993243
19173,106.7824545,99.60562062,0.363742061,140.3088498,12117.03578,0.86793929,52.40926064,0.000100505,3.752018716,0.203282433,0.500704115,1.959375,3013.387917,4700.170833
20592,108.3688326,99.98458521,0.311026157,139.8921607,12098.41947,0.868201243,42.51492378,9.98E-05,3.791515819,0.202819215,0.498980186,1.976447689,3220.705304,5044.439416
19653,110.6653437,100.4274423,0.249584486,138.1744408,11933.87083,0.869332926,51.10445589,9.89E-05,3.830933669,0.202700727,0.498956902,1.971446053,3071.348562,4784.884153
19609,110.423785,100.2932828,0.25634511,138.6054957,11966.28182,0.86847876,41.5233713,9.92E-05,3.80477939,0.20346012,0.500076495,1.962777891,3074.421375,4811.50051
19352,111.981604,100.1294401,0.209647706,140.8340573,12131.05665,0.868385697,59.34162021,9.94E-05,3.761937016,0.203916478,0.501446879,1.959398186,3037.450124,4758.829143
19657,111.8224042,100.024194,0.216655512,140.6689932,12133.37296,0.868392939,46.15777989,9.97E-05,3.749031891,0.203500491,0.500381543,1.974481497,3090.794225,4815.392233
19422,112.6278962,100.2395719,0.193743253,138.3701295,11952.72437,0.86849964,40.56336673,9.94E-05,3.752849464,0.203090703,0.500205952,1.962017499,3051.27298,4781.352651
20645,109.8871882,100.048904,0.271675788,138.3080719,11936.25276,0.867231775,65.5651342,9.97E-05,3.812422088,0.202453016,0.499103899,1.962150621,3241.754658,5056.585598
